F6CXK8	foldmason	169
U7L1T7	foldmason	180
A0A7C7KA74	foldmason	1189
A0A4V1M1V7	foldmason	198
F6CXK8	foldmason_lol	160
D3JVD5	foldmason	367
A0A841FY34	foldmason	888
U7L1T7	foldmason_lol	180
L8LTQ4	foldmason	906
A0A7C7KA74	foldmason_lol	1245
A0A4V1M1V7	foldmason_lol	199
A0A7V9HBP6	foldmason	197
F6CXK8	foldmason_refine100	169
L8LTQ4	foldmason_lol	2176
A0A7V3QYX8	foldmason	598
D3JVD5	foldmason_lol	488
A0A7R9A562	foldmason	871
A0A841FY34	foldmason_lol	1386
A0A345XNH5	foldmason	701
U7L1T7	foldmason_refine100	181
A0A7V9HBP6	foldmason_lol	196
A0A7C7KA74	foldmason_refine100	1150
A0A4V1M1V7	foldmason_refine100	193
F6CXK8	muscle	163
A0A7V3QYX8	foldmason_lol	2124
L9WUI5	foldmason	1010
A0A7K0JS47	foldmason	793
L8LTQ4	foldmason_refine100	882
D3JVD5	foldmason_refine100	363
A0A841FY34	foldmason_refine100	885
A0A7R9A562	foldmason_lol	1479
A0A345XNH5	foldmason_lol	2866
U7L1T7	muscle	189
A0A8B6H5Z5	foldmason	498
A0A7V9HBP6	foldmason_refine100	196
A0A5Q0EJY6	foldmason	186
A0A7C7KA74	muscle	1244
L9WUI5	foldmason_lol	3946
F6CXK8	caretta	155
F5YND8	foldmason	166
A0A7V3QYX8	foldmason_refine100	599
A0A4V1M1V7	muscle	203
L8LTQ4	muscle	1155
A0A7K0JS47	foldmason_lol	2153
A0A2W5JG19	foldmason	182
A0A841FY34	muscle	947
A0A5Q0EJY6	foldmason_lol	181
U7L1T7	caretta	174
A0A6B0X6C9	foldmason	584
A0A7R9A562	foldmason_refine100	869
A0A7V9HBP6	muscle	210
D3TB77	foldmason	498
D3JVD5	muscle	435
A0A345XNH5	foldmason_refine100	698
A0A8B6H5Z5	foldmason_lol	1474
A0A7V3QYX8	muscle	870
F6CXK8	matt	202
L9WUI5	foldmason_refine100	989
A0A7C7KA74	caretta	1049
H3BGA4	foldmason	294
A0A4V1M1V7	caretta	184
A0A7V9HBP6	caretta	179
A0A7K0JS47	foldmason_refine100	788
F5YND8	foldmason_lol	624
L8LTQ4	caretta	574
A0A841FY34	caretta	661
A0A8B6H5Z5	foldmason_refine100	499
D3TB77	foldmason_lol	518
A0A644Y0F6	foldmason	833
U7L1T7	matt	238
A0A5Q0EJY6	foldmason_refine100	184
A0A2W5JG19	foldmason_lol	202
A0A7R9A562	muscle	980
A0A2E5EG28	foldmason	168
F6CXK8	mtmalign	200
L9WUI5	muscle	1232
A0A6B0X6C9	foldmason_lol	1499
H3BGA4	foldmason_lol	322
A0A7V3QYX8	caretta	377
A0A345XNH5	muscle	697
A0A7K0JS47	muscle	1146
A0A6J4UFW7	foldmason	475
A0A4V1M1V7	matt	257
D3JVD5	caretta	286
A0A7C7KA74	matt	2089
A0A841FY34	matt	4865
D3TB77	foldmason_refine100	497
A0A7V9HBP6	matt	287
A0A2K2FPG0	foldmason	156
A0A5Q0EJY6	muscle	182
U7L1T7	mtmalign	259
A0A6B0X6C9	foldmason_refine100	570
A0A841HGH3	foldmason	218
A0A2W5JG19	foldmason_refine100	181
F5YND8	foldmason_refine100	166
A0A345XNH5	caretta	680
L8LTQ4	matt	5312
A0A8B6H5Z5	muscle	551
A0A7V3RQS4	foldmason	1009
Q0HSW5	foldmason	315
A0A2E5EG28	foldmason_lol	166
H3BGA4	foldmason_refine100	287
A0A644Y0F6	foldmason_lol	1984
A0A7V3QYX8	matt	3121
L9WUI5	caretta	544
F6CXK8	usalign	175
A0A7K0JS47	caretta	545
A0A7R9A562	caretta	793
A0A841FY34	mtmalign	2826
A0A4V1M1V7	mtmalign	263
A0A6J4UFW7	foldmason_lol	497
U7L1T7	usalign	196
A0A5Q0EJY6	caretta	175
A0A2K2FPG0	foldmason_lol	156
A0A345XNH5	matt	3850
L8LTQ4	mtmalign	3555
A0A2W5JG19	muscle	197
A0A7C7KA74	mtmalign	2032
A0A7V9HBP6	mtmalign	279
Q0HSW5	foldmason_lol	748
A0A7V3QYX8	mtmalign	2201
A0A6B0X6C9	muscle	759
D3TB77	muscle	514
D3JVD5	matt	957
A0A644Y0F6	foldmason_refine100	827
A0A841HGH3	foldmason_lol	206
A0A2E5EG28	foldmason_refine100	168
A0A8B6H5Z5	caretta	407
L9WUI5	matt	5814
F5YND8	muscle	180
H3BGA4	muscle	332
A0A7V3RQS4	foldmason_lol	3444
A0A6J4UFW7	foldmason_refine100	470
L8LTQ4	usalign	2822
A0A2K2FPG0	foldmason_refine100	156
A0A4V1M1V7	usalign	209
U7L1T7	mustang	198
A0A5Q0EJY6	matt	257
A0A7V3QYX8	usalign	1792
A0A7C7KA74	usalign	1321
D3TB77	caretta	477
A0A7K0JS47	matt	4659
F6CXK8	mustang	181
A0A7R9A562	matt	2084
A0A841FY34	usalign	2069
A0A345XNH5	mtmalign	2998
A0A841GQ48	foldmason	633
A0A2W5JG19	caretta	179
Q0HSW5	foldmason_refine100	318
D3JVD5	mtmalign	835
A0A7V9HBP6	usalign	210
A0A8B6H5Z5	matt	2142
A0A811X6M4	foldmason	816
A0A2E5EG28	muscle	164
A0A6H5IZH7	foldmason	534
A0A841HGH3	foldmason_refine100	207
A0A2K2FPG0	muscle	163
A0A7V3RQS4	foldmason_refine100	983
A0A6B0X6C9	caretta	431
A0A644Y0F6	muscle	1152
U7L1T7	clustalo	187
H3BGA4	caretta	249
A0A7V3QYX8	mustang	820
A0A4V1M1V7	mustang	238
D3TB77	matt	963
A0A7K0JS47	mtmalign	3416
A0A2M7QJ61	foldmason	505
L8LTQ4	mustang	1353
A0A5Q0EJY6	mtmalign	275
A0A841FY34	mustang	1229
A0A150M8U2	foldmason	204
F5YND8	caretta	145
A0A345XNH5	usalign	2413
L9WUI5	mtmalign	4039
A0A7C7KA74	mustang	1363
A0A7V9HBP6	mustang	250
A0A6J4UFW7	muscle	538
A0A2W5JG19	matt	264
A0A7R9A562	mtmalign	1708
A0A7V3RQS4	muscle	1152
A0A8B6H5Z5	mtmalign	2033
Q0HSW5	muscle	353
F6CXK8	clustalo	177
A0A841GQ48	foldmason_lol	1619
A0A841HGH3	muscle	218
H3BGA4	matt	734
A0A2K2FPG0	caretta	155
A0A4V1M1V7	clustalo	204
D3JVD5	usalign	670
A0A811X6M4	foldmason_lol	1805
A0A7V3QYX8	clustalo	695
A0A2E5EG28	caretta	161
A0A7K0JS47	usalign	2536
A0A6H5IZH7	foldmason_lol	2320
L8LTQ4	clustalo	927
A0A150M8U2	foldmason_lol	205
A0A6B0X6C9	matt	3981
U7L1T7	famsa	184
A0A2M7QJ61	foldmason_lol	533
D3TB77	mtmalign	874
A0A5Q0EJY6	usalign	219
A0A345XNH5	mustang	909
A0A7V9HBP6	clustalo	212
A0A644Y0F6	caretta	470
A0A2W5JG19	mtmalign	231
A0A6J4UFW7	caretta	453
A0A7C7KA74	clustalo	1064
F5YND8	matt	804
A0A7R9A562	usalign	1374
A0A7V3RQS4	caretta	606
A0A8B6H5Z5	usalign	1739
A0A841FY34	clustalo	786
A0A4V1M1V7	famsa	197
A0A811X6M4	foldmason_refine100	805
A0A7V3QYX8	famsa	494
L9WUI5	usalign	3419
A0A2K2FPG0	matt	157
Q0HSW5	caretta	261
