F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A353EPT5-F1-model_v4,0.275,0.830,0.820
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A1F3Y0S6-F1-model_v4,0.248,0.830,0.832
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A0J8GPK7-F1-model_v4,0.237,0.859,0.857
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2A4VUG8-F1-model_v4,0.228,0.867,0.855
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2E9IS27-F1-model_v4,0.227,0.830,0.811
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2S6HCI3-F1-model_v4,0.229,0.830,0.813
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A1C3JR79-F1-model_v4,0.224,0.830,0.809
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2H9LGZ9-F1-model_v4,0.218,0.867,0.816
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2A4T194-F1-model_v4,0.223,0.830,0.779
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2D5ZMN2-F1-model_v4,0.221,0.830,0.820
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2G2FVP3-F1-model_v4,0.204,0.993,0.893
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2P5N0A6-F1-model_v4,0.212,0.830,0.812
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A1G2MSI7-F1-model_v4,0.207,0.844,0.846
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-F6CXK8-F1-model_v4,0.213,0.770,0.746
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A1K1ZP66-F1-model_v4,0.204,0.830,0.803
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2T5IGC0-F1-model_v4,0.201,0.830,0.796
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A1W1WT92-F1-model_v4,0.188,0.867,0.787
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A2H5UZ57-F1-model_v4,0.174,0.844,0.812
F6CXK8,mmseqs,AF-A0A062V5D3-F1-model_v4,AF-A0A1G0PG01-F1-model_v4,0.162,0.970,0.948
F6CXK8,mmseqs,AF-A0A0J8GPK7-F1-model_v4,AF-A0A1C3JR79-F1-model_v4,0.457,0.950,0.929
F6CXK8,mmseqs,AF-A0A0J8GPK7-F1-model_v4,AF-A0A2A4VUG8-F1-model_v4,0.421,0.936,0.928
F6CXK8,mmseqs,AF-A0A0J8GPK7-F1-model_v4,AF-A0A2P5N0A6-F1-model_v4,0.382,1.000,0.986
F6CXK8,mmseqs,AF-A0A0J8GPK7-F1-model_v4,AF-A0A1K1ZP66-F1-model_v4,0.328,0.971,0.944
F6CXK8,mmseqs,AF-A0A0J8GPK7-F1-model_v4,AF-A0A2A4T194-F1-model_v4,0.328,0.929,0.876
F6CXK8,mmseqs,AF-A0A0J8GPK7-F1-model_v4,AF-A0A2E9IS27-F1-model_v4,0.305,0.957,0.937
F6CXK8,mmseqs,AF-A0A0J8GPK7-F1-model_v4,AF-A0A2S6HCI3-F1-model_v4,0.293,0.893,0.878
