5_3_exonuclease	2
6PF2K	2
6PGD	2
7kD_DNA_binding	2
A2M_A	2
A2M_B	2
AAA	4
ABC_tran	6
ACBP	2
ACPS	3
ACT	2
ADF	3
ADP_PFK_GK	2
AFOR	2
ALAD	2
ALBUMIN	3
AMP-binding	2
ANATO	2
ANK	3
APC10	2
AP_endonuc_2	3
AP_endonucleas1	2
ARID	2
ARM	3
ATP-gua_Ptrans	3
ATP-sulfurylase	2
ATP-synt	4
ATP-synt_DE_N	2
ATP-synt_g	2
Acetyltransf	6
Acetyltransf2	2
Activin_recp	2
Adenylsucc_synt	3
Agglutinin	2
AhpC-TSA	3
AlaDh_PNT	2
AlaDh_PNT_D1	2
AlaDh_PNT_D2	2
Ala_racemase_N	2
Ald_Xan_dh_1	6
Ald_Xan_dh_2	6
Aldolase_II	2
Alpha_adaptinC12	2
Alpha_adaptinC2	2
Alpha_adaptin_C	2
Amidase	2
Amidase_2	2
Amidinotransferase	2
Amino_oxidase	2
Amino_oxidase_D1	2
Amino_oxidase_D2	2
Anperoxidase	2
Antifreeze	3
Apocytochrome_F	2
Arch_histone	2
Arg_repressor_C	2
Arg_repressor_N	2
Arginosuc_synth	2
Arthro_defensin	2
Asn_synthase	2
Asn_synthase_NC	2
Asp_Glu_race	2
Asp_Glu_race_D	4
Astacin	2
B	3
BAG	2
BChl_A	2
BIR	4
BRCT	2
B_lectin	3
Bac_DNA_binding	4
Bac_globin	2
Bac_rhodopsin	3
Bacterial_PQQ	3
Bacteriofer	2
Band_41_M	3
Band_41_N	3
Band_41_NME	3
Bcl-2	3
Bet_v_I	2
Beta_elim_lyase	2
Binary_toxA	3
C1	3
C1q	2
C2	3
C4	2
CAP_GLY	2
CARD	2
CASc	2
CAT_RBD	2
CBD_2	2
CBD_3	3
CBD_6	2
CBM_20	8
CBS	4
CC4	2
CCP_MauG	2
CCP_MauG_C	2
CCP_MauG_NC	2
CDC48	2
CH	4
CIDE-N	2
CMAS	2
CN_hydrolase	2
CODH	2
COX1	2
COX2	3
COX3	3
CPS	3
CPSase_L_chain	4
CUB	3
CYCc	2
CcmE	2
Chorismate_mut	2
ChtBD	5
Clp_N	2
CoA_binding	2
CoA_trans	2
Cohesin	2
Colicin	3
Colicin_Pyocin	3
CopC	2
Cu-oxidase	2
Cu_amine_oxid	4
Cu_bind_like	3
Cu_nir	3
Cucumo_coat	2
Cutinase	2
Cyclodex_gly_tran	6
Cyclotide	3
Cys-protease-3C	3
Cys_Met_Meta_PP	3
Cys_knot	2
Cytidylyl_trans	2
Cytidylyltransf	2
CytoC_RC	2
Cytochrome_C1	2
Cytochrome_C1_C	2
Cytochrome_C1_N	2
DAHP_synth_1	3
DAO	2
DAP_epimerase	2
DEAD	4
DEATH	7
DEFSN	2
DEP	2
DHBP_synthase	2
DHDPS	2
DHH	3
DHHA2	3
DHOdehase	4
DHPS	2
DHquinase_II	2
DISIN	3
DMRL_synthase	5
DNA_PPF	4
DNA_gyraseB	2
DNA_gyraseB_N2	2
DNA_ligase	2
DNA_ligase_C	2
DNA_ligase_N	2
DNA_methylase	2
DNA_mis_repair_M	2
DNA_mis_repair_NM	2
DNA_photolyase	2
DNA_pol3_beta	3
DNA_pol_B	2
DNA_pol_B_exo	2
DNA_polymeraseX	2
DNA_topoisoIV	2
DPS	2
DSBA	2
DSPc	2
DUF101	2
DUF153	2
DUF170	3
DUF28	2
DUF50	2
Dala_Dala_ligas	2
Dala_Dala_ligas_C	2
Dala_Dala_ligas_N	2
DegT_DnrJ_EryC1	2
Dehydratase_LU	2
Dehydratase_MU	2
Dehydratase_SU	2
DeoC	2
Desulfoferrodox	2
DnaJ	2
Dwarfin	2
E1_dehydrog	2
E2_C	3
E2_N	2
EF1BD	3
EFG_C	2
EFG_IV	2
EFTU_2	4
EFTU_C	3
EF_TS	3
EGF_Lam	3
END	2
ENTH	3
EPSP_syntase	2
ERM	2
ETF_alpha	2
ETF_beta	2
Egg_lysin	2
Elicitin	2
Endonuclease_3	2
Epimerase	4
Esterase	2
Exonuclease	2
Extradiol_dioxy	3
F5_F8_type_C	2
FA58C	2
FAA_hydrolase	2
FAD-oxidase_C	4
FAD-oxidase_NC	4
FAD_binding	2
FAD_binding_2	2
FAD_binding_4	4
FAD_binding_5	2
FHA	2
FN1	3
FN2	2
FTR	2
FYVE	2
F_bP_aldolase	2
Fapy_DNA_glyco	4
Fe-ADH	2
Fe_Asc_oxidored	2
Fe_dep_repr_M	2
Fe_dep_repress	2
Fe_hyd_SSU	2
Fe_hyd_lg_C	2
Ferrochelatase	2
Filamin	3
Fimbrial	2
Flavin_Reduct	2
Flavoprotein	2
FolB	2
Fork_head	3
Frataxin_Cyay	2
Furin-like	2
Fz	2
G6PD	2
G6PD_C	2
G6PD_NC	2
GA	2
GAD	2
GAF	3
GAL4	3
GATA	3
GATase	3
